0xB7C3	访	U+8BBF
0xB7C4	纺	U+7EBA
0xB7C5	放	U+653E
0xB7C6	菲	U+83F2
0xB7C7	非	U+975E
0xB7C8	啡	U+5561
0xB7C9	飞	U+98DE
0xB7CA	肥	U+80A5
0xB7CB	匪	U+532A
0xB7CC	诽	U+8BFD
0xB7CD	吠	U+5420
0xB7CE	肺	U+80BA
0xB7CF	废	U+5E9F
0xB7D0	沸	U+6CB8
0xB7D1	费	U+8D39
0xB7D2	芬	U+82AC
0xB7D3	酚	U+915A
0xB7D4	吩	U+5429
0xB7D5	氛	U+6C1B
0xB7D6	分	U+5206
0xB7D7	纷	U+7EB7
0xB7D8	坟	U+575F
0xB7D9	焚	U+711A
0xB7DA	汾	U+6C7E
0xB7DB	粉	U+7C89
0xB7DC	奋	U+594B
0xB7DD	份	U+4EFD
0xB7DE	忿	U+5FFF
0xB7DF	愤	U+6124
0xB7E0	粪	U+7CAA
0xB7E1	丰	U+4E30
0xB7E2	封	U+5C01
0xB7E3	枫	U+67AB
0xB7E4	蜂	U+8702
0xB7E5	峰	U+5CF0
0xB7E6	锋	U+950B
0xB7E7	风	U+98CE
0xB7E8	疯	U+75AF
0xB7E9	烽	U+70FD
0xB7EA	逢	U+9022
0xB7EB	冯	U+51AF
0xB7EC	缝	U+7F1D
0xB7ED	讽	U+8BBD
0xB7EE	奉	U+5949
0xB7EF	凤	U+51E4
0xB7F0	佛	U+4F5B
0xB7F1	否	U+5426
0xB7F2	夫	U+592B
0xB7F3	敷	U+6577
0xB7F4	肤	U+80A4
0xB7F5	孵	U+5B75
0xB7F6	扶	U+6276
0xB7F7	拂	U+62C2
0xB7F8	辐	U+8F90
0xB7F9	幅	U+5E45
0xB7FA	氟	U+6C1F
0xB7FB	符	U+7B26
0xB7FC	伏	U+4F0F
0xB7FD	俘	U+4FD8
0xB7FE	服	U+670D
0xB8A1	浮	U+6D6E
0xB8A2	涪	U+6DAA
0xB8A3	福	U+798F
0xB8A4	袱	U+88B1
0xB8A5	弗	U+5F17
0xB8A6	甫	U+752B
0xB8A7	抚	U+629A
0xB8A8	辅	U+8F85
0xB8A9	俯	U+4FEF
0xB8AA	釜	U+91DC
0xB8AB	斧	U+65A7
0xB8AC	脯	U+812F
0xB8AD	腑	U+8151
0xB8AE	府	U+5E9C
0xB8AF	腐	U+8150
0xB8B0	赴	U+8D74
0xB8B1	副	U+526F
0xB8B2	覆	U+8986
0xB8B3	赋	U+8D4B
0xB8B4	复	U+590D
0xB8B5	傅	U+5085
0xB8B6	付	U+4ED8
0xB8B7	阜	U+961C
0xB8B8	父	U+7236
0xB8B9	腹	U+8179
0xB8BA	负	U+8D1F
0xB8BB	富	U+5BCC
0xB8BC	讣	U+8BA3
0xB8BD	附	U+9644
0xB8BE	妇	U+5987
0xB8BF	缚	U+7F1A
0xB8C0	咐	U+5490
0xB8C1	噶	U+5676
0xB8C2	嘎	U+560E
0xB8C3	该	U+8BE5
0xB8C4	改	U+6539
0xB8C5	概	U+6982
0xB8C6	钙	U+9499
0xB8C7	盖	U+76D6
0xB8C8	溉	U+6E89
0xB8C9	干	U+5E72
0xB8CA	甘	U+7518
0xB8CB	杆	U+6746
0xB8CC	柑	U+67D1
0xB8CD	竿	U+7AFF
0xB8CE	肝	U+809D
0xB8CF	赶	U+8D76
0xB8D0	感	U+611F
0xB8D1	秆	U+79C6
0xB8D2	敢	U+6562
0xB8D3	赣	U+8D63
0xB8D4	冈	U+5188
0xB8D5	刚	U+521A
0xB8D6	钢	U+94A2
0xB8D7	缸	U+7F38
0xB8D8	肛	U+809B
0xB8D9	纲	U+7EB2
0xB8DA	岗	U+5C97
0xB8DB	港	U+6E2F
0xB8DC	杠	U+6760
0xB8DD	篙	U+7BD9
0xB8DE	皋	U+768B
0xB8DF	高	U+9AD8
0xB8E0	膏	U+818F
0xB8E1	羔	U+7F94
0xB8E2	糕	U+7CD5
0xB8E3	搞	U+641E
0xB8E4	镐	U+9550
0xB8E5	稿	U+7A3F
0xB8E6	告	U+544A
0xB8E7	哥	U+54E5
0xB8E8	歌	U+6B4C
0xB8E9	搁	U+6401
0xB8EA	戈	U+6208
0xB8EB	鸽	U+9E3D
0xB8EC	胳	U+80F3
0xB8ED	疙	U+7599
0xB8EE	割	U+5272
0xB8EF	革	U+9769
0xB8F0	葛	U+845B
0xB8F1	格	U+683C
0xB8F2	蛤	U+86E4
0xB8F3	阁	U+9601
0xB8F4	隔	U+9694
0xB8F5	铬	U+94EC
0xB8F6	个	U+4E2A
0xB8F7	各	U+5404
0xB8F8	给	U+7ED9
0xB8F9	根	U+6839
0xB8FA	跟	U+8DDF
0xB8FB	耕	U+8015
0xB8FC	更	U+66F4
0xB8FD	庚	U+5E9A
0xB8FE	羹	U+7FB9
0xB9A1	埂	U+57C2
0xB9A2	耿	U+803F
0xB9A3	梗	U+6897
0xB9A4	工	U+5DE5
0xB9A5	攻	U+653B
0xB9A6	功	U+529F
0xB9A7	恭	U+606D
0xB9A8	龚	U+9F9A
0xB9A9	供	U+4F9B
0xB9AA	躬	U+8EAC
0xB9AB	公	U+516C
0xB9AC	宫	U+5BAB
0xB9AD	弓	U+5F13
0xB9AE	巩	U+5DE9
0xB9AF	汞	U+6C5E
0xB9B0	拱	U+62F1
0xB9B1	贡	U+8D21
0xB9B2	共	U+5171
0xB9B3	钩	U+94A9
0xB9B4	勾	U+52FE
0xB9B5	沟	U+6C9F
0xB9B6	苟	U+82DF
0xB9B7	狗	U+72D7
0xB9B8	垢	U+57A2
0xB9B9	构	U+6784
0xB9BA	购	U+8D2D
0xB9BB	够	U+591F
0xB9BC	辜	U+8F9C
0xB9BD	菇	U+83C7
0xB9BE	咕	U+5495
0xB9BF	箍	U+7B8D
0xB9C0	估	U+4F30
0xB9C1	沽	U+6CBD
0xB9C2	孤	U+5B64
0xB9C3	姑	U+59D1
0xB9C4	鼓	U+9F13
0xB9C5	古	U+53E4
0xB9C6	蛊	U+86CA
0xB9C7	骨	U+9AA8
0xB9C8	谷	U+8C37
0xB9C9	股	U+80A1
0xB9CA	故	U+6545
0xB9CB	顾	U+987E
0xB9CC	固	U+56FA
0xB9CD	雇	U+96C7
0xB9CE	刮	U+522E
0xB9CF	瓜	U+74DC
0xB9D0	剐	U+5250
0xB9D1	寡	U+5BE1
